"Link_id","Direction","Date","Min_speed","Max_speed","Mean_speed","Stdev_speed","Skewness_speed","Kurtosis_speed","Entries","UniqueEntries"
163204843,1,"2017-01-20 20:00:00",30,30,30,NA,NA,NA,1,1
163204843,1,"2017-01-20 20:30:00",35,35,35,NA,NA,NA,1,1
163204843,1,"2017-01-20 22:30:00",45,45,45,NA,NA,NA,1,1
163204843,1,"2017-01-21 09:45:00",26,26,26,NA,NA,NA,1,1
163204843,1,"2017-01-21 13:45:00",26,26,26,NA,NA,NA,1,1
163204843,1,"2017-01-21 14:15:00",15,15,15,NA,NA,NA,1,1
163204843,1,"2017-01-21 15:45:00",28,28,28,NA,NA,NA,1,1
163204843,1,"2017-01-21 17:30:00",23,23,23,NA,NA,NA,1,1
163204843,1,"2017-01-21 17:45:00",21,21,21,NA,NA,NA,1,1
163204843,1,"2017-01-21 19:00:00",17,17,17,NA,NA,NA,1,1
163204843,1,"2017-01-21 20:30:00",34,34,34,NA,NA,NA,1,1
163204843,1,"2017-01-22 01:30:00",47,47,47,NA,NA,NA,1,1
163204843,1,"2017-01-22 11:30:00",30,30,30,NA,NA,NA,1,1
163204843,1,"2017-01-22 18:00:00",26,26,26,NA,NA,NA,1,1
163204843,1,"2017-01-22 20:30:00",24,24,24,NA,NA,NA,1,1
163204843,1,"2017-01-23 07:15:00",34,34,34,NA,NA,NA,1,1
163204843,1,"2017-01-23 08:00:00",24,24,24,NA,NA,NA,1,1
163204843,1,"2017-01-23 12:00:00",26,26,26,NA,NA,NA,1,1
163204843,1,"2017-01-23 19:30:00",26,26,26,NA,NA,NA,1,1
163204843,1,"2017-01-24 14:00:00",39,39,39,NA,NA,NA,1,1
163204843,1,"2017-01-24 16:45:00",31,31,31,NA,NA,NA,1,1
163204843,1,"2017-01-24 17:30:00",33,33,33,NA,NA,NA,1,1
163204843,1,"2017-01-24 19:00:00",42,42,42,NA,NA,NA,1,1
163204843,1,"2017-01-24 19:15:00",23,23,23,NA,NA,NA,1,1
163204843,1,"2017-01-24 19:30:00",40,40,40,NA,NA,NA,1,1
163204843,1,"2017-01-25 01:15:00",41,41,41,NA,NA,NA,1,1
163204843,1,"2017-01-25 12:30:00",41,41,41,NA,NA,NA,1,1
163204843,1,"2017-01-25 13:00:00",35,35,35,NA,NA,NA,1,1
163204843,1,"2017-01-25 14:45:00",25,25,25,NA,NA,NA,1,1
163204843,1,"2017-01-25 16:45:00",19,20,19,0.707106781186548,NA,NA,2,1
163204843,1,"2017-01-25 17:30:00",22,22,22,NA,NA,NA,1,1
163204843,1,"2017-01-25 17:45:00",25,25,25,NA,NA,NA,1,1
163204843,1,"2017-01-25 21:00:00",41,52,46,7.77817459305202,NA,NA,2,2
163204843,1,"2017-01-26 13:45:00",32,32,32,NA,NA,NA,1,1
163204843,1,"2017-01-26 14:15:00",47,47,47,NA,NA,NA,1,1
163204843,1,"2017-01-26 16:00:00",44,44,44,NA,NA,NA,1,1
163204843,1,"2017-01-26 19:00:00",35,35,35,NA,NA,NA,1,1
163204843,1,"2017-01-26 19:45:00",23,24,23,0.707106781186548,NA,NA,2,1
163204843,1,"2017-01-26 20:15:00",26,26,26,NA,NA,NA,1,1
163204843,1,"2017-01-27 08:00:00",15,15,15,NA,NA,NA,1,1
163204843,1,"2017-01-27 11:15:00",25,25,25,NA,NA,NA,1,1
