Link_id,Direction,AVG_Speed,Data_Availability_Percentage,Category
15219515,1,46,28,Medium (30 - 50]
15219516,1,41,37,Medium (30 - 50]
15219519,1,23,3,Low [0-30]
15219519,2,24,3,Low [0-30]
15219534,1,31,69,Medium (30 - 50]
15219540,1,26,1,Low [0-30]
15219540,2,27,1,Low [0-30]
15238693,1,95,29,Highest (80 +
15239782,1,105,10,Highest (80 +
15687795,1,29,28,Low [0-30]
15690172,1,31,0,Medium (30 - 50]
15690172,2,31,1,Medium (30 - 50]
15690315,1,29,0,Low [0-30]
15690315,2,23,0,Low [0-30]
15695535,1,21,14,Low [0-30]
15696316,1,28,66,Low [0-30]
15696619,1,28,23,Low [0-30]
15696619,2,26,27,Low [0-30]
15697039,1,15,0,Low [0-30]
15697039,2,20,0,Low [0-30]
15702080,1,39,33,Medium (30 - 50]
15703057,1,13,0,Low [0-30]
15703057,2,12,0,Low [0-30]
15704662,1,22,47,Low [0-30]
15726834,1,32,3,Medium (30 - 50]
15726834,2,31,33,Medium (30 - 50]
15728590,1,30,23,Low [0-30]
15728590,2,30,16,Low [0-30]
15743376,1,28,44,Low [0-30]
15743495,1,29,45,Low [0-30]
15799550,1,24,0,Low [0-30]
15799550,2,23,0,Low [0-30]
15805450,2,15,0,Low [0-30]
15805472,1,27,38,Low [0-30]
15881500,1,21,88,Low [0-30]
15920660,1,18,7,Low [0-30]
15922374,1,8,0,Low [0-30]
15922374,2,18,0,Low [0-30]
15923583,1,22,20,Low [0-30]
16088930,1,30,17,Low [0-30]
16090874,NULL,NULL,0,NULL
16144516,1,30,83,Low [0-30]
16145392,1,29,20,Low [0-30]
16145860,1,20,18,Low [0-30]
16145864,1,18,18,Low [0-30]
16145958,1,16,27,Low [0-30]
16146843,2,6,0,Low [0-30]
16147060,1,20,7,Low [0-30]
16147969,1,28,72,Low [0-30]
16150369,1,35,75,Medium (30 - 50]
16150783,1,30,9,Low [0-30]
16150783,2,28,13,Low [0-30]
16154571,1,25,78,Low [0-30]
16154753,1,18,63,Low [0-30]
16154822,1,23,68,Low [0-30]
16154829,1,26,67,Low [0-30]
16156658,1,19,58,Low [0-30]
16158051,1,31,93,Medium (30 - 50]
16381772,1,22,51,Low [0-30]
16385487,NULL,NULL,0,NULL
16667967,1,43,12,Medium (30 - 50]
16667967,2,46,6,Medium (30 - 50]
16814897,1,26,20,Low [0-30]
16814925,1,24,32,Low [0-30]
16815008,1,30,18,Low [0-30]
16815016,1,23,12,Low [0-30]
16815873,1,27,5,Low [0-30]
16892331,1,42,18,Medium (30 - 50]
16892679,1,24,13,Low [0-30]
16894131,1,73,47,High (51 - 80]
16895087,1,34,24,Medium (30 - 50]
16895962,1,30,0,Low [0-30]
16895962,2,37,0,Medium (30 - 50]
17480218,1,35,30,Medium (30 - 50]
17480218,2,34,28,Medium (30 - 50]
17486232,1,33,55,Medium (30 - 50]
17488017,1,59,55,High (51 - 80]
17488523,1,36,11,Medium (30 - 50]
17488523,2,35,11,Medium (30 - 50]
17696301,1,51,4,High (51 - 80]
17696301,2,51,3,High (51 - 80]
17696567,1,56,3,High (51 - 80]
17696567,2,59,2,High (51 - 80]
17696616,1,33,6,Medium (30 - 50]
18136358,1,55,40,High (51 - 80]
18136358,2,56,52,High (51 - 80]
18139988,1,21,5,Low [0-30]
18140050,1,32,23,Medium (30 - 50]
18617191,1,69,9,High (51 - 80]
18617246,1,52,39,High (51 - 80]
18617454,1,64,35,High (51 - 80]
18617633,1,52,51,High (51 - 80]
18617707,1,45,39,Medium (30 - 50]
18617788,1,34,6,Medium (30 - 50]
18622305,1,63,42,High (51 - 80]
18622622,1,20,7,Low [0-30]
18623557,1,28,37,Low [0-30]
18623648,1,41,51,Medium (30 - 50]
18623648,2,42,51,Medium (30 - 50]
18625212,1,23,0,Low [0-30]
18625212,2,21,0,Low [0-30]
18632550,1,39,18,Medium (30 - 50]
18632550,2,42,22,Medium (30 - 50]
18635489,1,44,1,Medium (30 - 50]
18635489,2,43,0,Medium (30 - 50]
18637135,1,44,90,Medium (30 - 50]
18654586,1,26,16,Low [0-30]
18700068,1,31,72,Medium (30 - 50]
18810376,1,32,63,Medium (30 - 50]
18811754,1,37,67,Medium (30 - 50]
18812926,1,34,79,Medium (30 - 50]
18925406,1,57,6,High (51 - 80]
18925681,1,56,5,High (51 - 80]
19221631,1,56,7,High (51 - 80]
19221636,1,69,15,High (51 - 80]
19221642,1,81,11,Highest (80 +
19221646,1,71,5,High (51 - 80]
19786337,1,71,41,High (51 - 80]
19786339,1,67,84,High (51 - 80]
19786340,1,76,47,High (51 - 80]
19786341,1,73,79,High (51 - 80]
19786373,1,101,1,Highest (80 +
19786374,1,101,3,Highest (80 +
19786376,1,105,2,Highest (80 +
19786384,1,102,4,Highest (80 +
19786385,1,100,37,Highest (80 +
19786386,1,102,3,Highest (80 +
19786387,1,103,16,Highest (80 +
19789057,1,66,86,High (51 - 80]
19789058,1,74,25,High (51 - 80]
19789059,1,77,65,High (51 - 80]
19789060,1,78,24,High (51 - 80]
19789406,1,39,34,Medium (30 - 50]
19789484,1,29,19,Low [0-30]
19789484,2,23,1,Low [0-30]
19789488,1,25,78,Low [0-30]
19789493,1,26,13,Low [0-30]
19789840,1,19,5,Low [0-30]
19789871,1,30,62,Low [0-30]
19789935,1,32,67,Medium (30 - 50]
19789971,NULL,NULL,0,NULL
19790122,1,27,34,Low [0-30]
19790125,NULL,NULL,0,NULL
19790247,1,21,19,Low [0-30]
19790312,1,26,20,Low [0-30]
19790331,1,31,14,Medium (30 - 50]
19790533,1,33,95,Medium (30 - 50]
19790559,1,14,48,Low [0-30]
19790561,1,17,6,Low [0-30]
19790564,1,14,15,Low [0-30]
19790569,1,29,83,Low [0-30]
19790871,1,18,59,Low [0-30]
19791060,1,22,91,Low [0-30]
19791216,1,38,21,Medium (30 - 50]
19791216,2,30,3,Low [0-30]
19803323,1,21,87,Low [0-30]
19803559,1,33,15,Medium (30 - 50]
19803639,1,46,86,Medium (30 - 50]
19803724,1,42,79,Medium (30 - 50]
19850515,1,91,7,Highest (80 +
19850519,1,92,8,Highest (80 +
19850573,1,60,12,High (51 - 80]
19850756,1,76,16,High (51 - 80]
19850757,1,92,1,Highest (80 +
19850762,1,93,0,Highest (80 +
19850978,1,88,3,Highest (80 +
19850985,1,87,10,Highest (80 +
19851074,1,88,4,Highest (80 +
19860042,1,37,86,Medium (30 - 50]
19860561,1,30,0,Low [0-30]
19860561,2,31,0,Medium (30 - 50]
19871806,1,58,8,High (51 - 80]
19871806,2,56,6,High (51 - 80]
19872066,1,34,4,Medium (30 - 50]
19872098,1,32,9,Medium (30 - 50]
19881345,1,21,19,Low [0-30]
19881346,1,19,40,Low [0-30]
19900173,1,87,63,Highest (80 +
19951266,1,22,69,Low [0-30]
19985238,2,37,23,Medium (30 - 50]
20022222,1,22,1,Low [0-30]
20022222,2,21,2,Low [0-30]
20022671,1,23,10,Low [0-30]
20032957,1,59,85,High (51 - 80]
20033188,1,30,81,Low [0-30]
20033219,1,19,39,Low [0-30]
20033707,1,30,7,Low [0-30]
20036296,1,26,43,Low [0-30]
20036354,1,35,23,Medium (30 - 50]
20036475,1,17,65,Low [0-30]
20037389,1,57,75,High (51 - 80]
20038764,1,38,33,Medium (30 - 50]
20086054,1,18,90,Low [0-30]
20105346,1,30,0,Low [0-30]
20105346,2,25,0,Low [0-30]
20105357,1,27,25,Low [0-30]
20105357,2,28,37,Low [0-30]
20144698,1,32,54,Medium (30 - 50]
20144698,2,28,12,Low [0-30]
20144882,1,24,0,Low [0-30]
20144882,2,29,0,Low [0-30]
20145353,1,18,63,Low [0-30]
20145927,1,17,66,Low [0-30]
20146522,1,16,84,Low [0-30]
20146668,1,19,41,Low [0-30]
20147165,1,25,55,Low [0-30]
20148576,1,27,13,Low [0-30]
20172191,1,52,18,High (51 - 80]
20172193,1,39,6,Medium (30 - 50]
20172193,2,40,3,Medium (30 - 50]
20220802,1,34,75,Medium (30 - 50]
20220825,1,29,44,Low [0-30]
20221463,1,26,87,Low [0-30]
20221477,1,22,56,Low [0-30]
